Regressierte Tests bei 10.0% Tolleranz : 
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSimpleRules6 Score: 0.025 Bais Test Score: 0.0075
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSimpleRules7 Score: 0.026 Bais Test Score: 0.0085
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testTypes2 Score: 0.134 Bais Test Score: 0.1195
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSimpleRules5 Score: 0.02 Bais Test Score: 0.0155
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testMapNested Score: 0.119 Bais Test Score: 0.0715
testProject Score: 0.0022500000000000003 Bais Test Score: 0.002
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testMapSimple Score: 0.109 Bais Test Score: 0.0655
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testConstructor Score: 0.005 Bais Test Score: 0.0035
testContent10 Score: 0.0105 Bais Test Score: 0.008666666666666668
testContent11 Score: 0.007 Bais Test Score: 0.005999999999999999
testQm1o2 Score: 0.03725 Bais Test Score: 0.03366666666666667
net.ssehub.easy.instantiation.core.model.expressions.CallExpressionTest.testStaticExpression Score: 0.001 Bais Test Score: 5.0E-4
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testClear Score: 0.074 Bais Test Score: 0.057999999999999996
testAdvice3 Score: 0.029249999999999998 Bais Test Score: 0.026
net.ssehub.easy.instantiation.java.ExecutionTests.testJar Score: 0.344 Bais Test Score: 0.3035
net.ssehub.easy.instantiation.core.model.vilTypes.ConfigurationTests.testSelectChanged4 Score: 0.055 Bais Test Score: 0.0475
net.ssehub.easy.instantiation.core.model.vilTypes.ConfigurationTests.testSelectChanged2 Score: 0.136 Bais Test Score: 0.122
net.ssehub.easy.instantiation.core.model.vilTypes.ConfigurationTests.testSelectChanged1 Score: 0.003 Bais Test Score: 0.0015
testOutdated Score: 0.039 Bais Test Score: 0.034333333333333334
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSorting Score: 0.106 Bais Test Score: 0.0945
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail7 Score: 0.016 Bais Test Score: 0.011
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail8 Score: 0.014 Bais Test Score: 0.01
test.de.uni_hildesheim.sse.vil.templatelang.BasicTests.testDef Score: 0.005 Bais Test Score: 0.0045000000000000005
testSmallerEqualsComparison Score: 0.002 Bais Test Score: 0.0016666666666666668
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail3 Score: 0.005 Bais Test Score: 0.0035
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail4 Score: 0.01 Bais Test Score: 0.009
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail5 Score: 0.008 Bais Test Score: 0.007
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategyFail6 Score: 0.015 Bais Test Score: 0.0115
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testSequence Score: 0.017 Bais Test Score: 0.01
